id,title,genres,overview,director,cast,runtime,release_date,rating,poster_url,trailer_url
753,Don 2,Action | Thriller,"Having conquered the Asian underworld, crime boss Don sets in motion a plan that will give him dominion over Europe.",Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra Jonas, Boman Irani, Kunal Kapoor, Lara Dutta",139,23/12/2011,6.955,/static/posters/Don_2.jpg,https://www.youtube.com/embed/_X5w-6PqoZ0
754,The Innkeepers,Horror | Thriller,"During the final days at the Yankee Pedlar Inn, two employees determined to reveal the hotel's haunted past begin to experience disturbing events as old guests check in for a stay.",Ti West,"Sara Paxton, Pat Healy, Kelly McGillis, George Riddle, Lena Dunham",101,18/08/2011,5.392,/static/posters/The_Innkeepers.jpg,https://www.youtube.com/embed/UbY4rFaaeCg
755,Weekend,Drama | Romance,"After a drunken house party with his straight mates, Russell heads out to a gay club. Just before closing time he picks up Glen but what's expected to be just a one-night stand becomes something else, something special.",Andrew Haigh,"Tom Cullen, Chris New, Jonathan Race, Laura Freeman, Loreto Murray",96,23/10/2011,7.281,/static/posters/Weekend.jpg,https://www.youtube.com/embed/2IFbcWG1F9o
756,Born to Race,Action,"Danny Krueger is a rebellious young street racer on a collision course with trouble. After an accident at an illegal race, he's sent to a small town to live with his estranged father, a washed up NASCAR racer. When Danny decides to enter the NHRA High School Drags, he's forced to seek his father's help in taking down the local hotshot.",Alex Ranarivelo,"Joseph Cross, John Pyper-Ferguson, Brando Eaton, Nicole Badaan, Sherry Stringfield",99,19/03/2011,6.884,/static/posters/Born_to_Race.jpg,https://www.youtube.com/embed/6ZwxqAZV1QI
757,Anonymous,Drama | History | Thriller,"Set against the backdrop of the succession of Queen Elizabeth I, and the Essex Rebellion against her, the story advances the theory that it was in fact Edward De Vere, Earl of Oxford who penned Shakespeare's plays.",Roland Emmerich,"Jamie Campbell Bower, Rhys Ifans, David Thewlis, Joely Richardson, Vanessa Redgrave",130,21/10/2011,6.399,/static/posters/Anonymous.jpg,https://www.youtube.com/embed/uBmnkk0QW3Q
758,Prom,Comedy | Romance,"At “Prom,” every couple has a story and no two are exactly alike. As the big dance approaches for Nova Prescott, it’s a battle of wills as she finds herself drawn to the guy who gets in the way of her perfect prom. Fellow seniors Mei and Tyler harbor secrets, while others face all the insecurity and anticipation that surrounds one of high school’s most seminal events.",Joe Nussbaum,"Aimee Teegarden, Thomas McDonell, Nolan Sotillo, Cameron Monaghan, Danielle Campbell",104,29/04/2011,6.1,/static/posters/Prom.jpg,https://www.youtube.com/embed/73muoweK7Go
759,Headhunters,Thriller | Crime | Action,An accomplished headhunter risks everything to obtain a valuable painting owned by a former mercenary.,Morten Tyldum,"Aksel Hennie, Synnøve Macody Lund, Nikolaj Coster-Waldau, Julie R. Ølgaard, Kyrre Haugen Sydness",100,26/08/2011,7.24,/static/posters/Headhunters.jpg,https://www.youtube.com/embed/MBjn4tdxC00
760,Perras,Thriller | Drama | Romance,"Something terrible is happening in class 3A at Calmecatl Junior High. No one can leave the classroom until the guilty party is found. This is the device that gives us a glimpse of the ethics, games, esthetics and eroticism of these girl-women. It is not easy to say what the subject is, there are so many: the discovery of sexuality, discrimination, chance, drugs, maternity, traditions, betrayals, power, love. A mural of a complex reality from the point of view of twenty-something women in the skin of 14 to 15 year old girls.",Guillermo Ríos,"Claudia Zepeda, Karen de la Hoya, Scarlet Dergal, Alenka Ríos, Steph Bumelcrownd",100,04/03/2011,7.164,/static/posters/Perras.jpg,https://www.youtube.com/embed/ftwEQPI04cE
761,Husk,Horror | Thriller,"A group of friends stranded near a desolate cornfield find shelter in an old farmhouse, though they soon discover the dwelling is the center of a supernatural ritual.",Brett Simmons,"Devon Graye, Wes Chatham, C.J. Thomason, Tammin Sursok, Ben Easter",83,28/01/2011,5.776,/static/posters/Husk.jpg,https://www.youtube.com/embed/C6Hs2p1M5f0
762,Young Adult,Comedy | Drama,"A divorced writer from the Midwest returns to her hometown to reconnect with an old flame, who's now married with a family.",Jason Reitman,"Charlize Theron, Patton Oswalt, Patrick Wilson, Elizabeth Reaser, Collette Wolfe",94,11/11/2011,5.817,/static/posters/Young_Adult.jpg,https://www.youtube.com/embed/okfAW8OztkI
763,Carnage,Comedy | Drama,"Two pairs of parents hold a cordial meeting after their sons are involved in a fight, though as their time together progresses, increasingly childish behavior throws the discussion into chaos.",Roman Polanski,"Jodie Foster, Kate Winslet, Christoph Waltz, John C. Reilly, Elvis Polanski",80,16/09/2011,7.174,/static/posters/Carnage.jpg,https://www.youtube.com/embed/Zvg_wK6smK4
764,"Turn Me On, Dammit!",Drama | Comedy,"In Skoddeheimen, Norway, 15-year-old Alma is consumed by her hormones and fantasies that range from sweetly romantic images of Artur, the boyfriend she yearns for, to daydreams about practically everybody she lays eyes on.",Jannicke Systad Jacobsen,"Helene Bergsholm, Malin Bjørhovde, Beate Støfring, Matias Myren, Lars Nordtvedt Listau",76,19/08/2011,6.342,"/static/posters/Turn_Me_On,_Dammit!.jpg",https://www.youtube.com/embed/RrhWyfW0mxk
765,Coriolanus,Drama | Thriller,"Caius Martius, aka Coriolanus, is an arrogant and fearsome general who has built a career on protecting Rome from its enemies. Pushed by his ambitious mother to seek the position of consul, Coriolanus is at odds with the masses and unpopular with certain colleagues. When a riot results in his expulsion from Rome, Coriolanus seeks out his sworn enemy, Tullus Aufidius. Together, the pair vow to destroy the great city.",Ralph Fiennes,"Ralph Fiennes, Gerard Butler, Lubna Azabal, Ashraf Barhom, Jessica Chastain",123,14/02/2011,5.825,/static/posters/Coriolanus.jpg,https://www.youtube.com/embed/bsYrGIQnmxo
766,Straw Dogs,Drama | Thriller,A young couple moves to a quaint southern town. Soon their perfect getaway turns out to become a living hell when dark secrets and lethal passions spiral out of control.,Rod Lurie,"James Marsden, Kate Bosworth, Alexander Skarsgård, Dominic Purcell, Laz Alonso",110,16/09/2011,5.927,/static/posters/Straw_Dogs.jpg,https://www.youtube.com/embed/H_-fjojMBBA
767,All Star Superman,Animation | Science Fiction | Action | Adventure,"Lex Luthor enacts his plan to rid the world of Superman, once and for all. Succeeding with solar radiation poisoning, the Man of Steel is slowly dying. With what little times remains, the Last Son of Krypton must confront the revealing of his secret identity to Lois Lane and face Luthor in a final battle.",Sam Liu,"James Denton, Christina Hendricks, Anthony LaPaglia, Ed Asner, Linda Cardellini",76,01/01/2011,6.841,/static/posters/All_Star_Superman.jpg,https://www.youtube.com/embed/K9x2pGc_y9o
768,Megamind: The Button of Doom,Animation | Action | Comedy | Family,"For their first day on the job as the new protectors of Metro City, Megamind and Minion are selling off the gadgets from their evil lair. But when one seemingly harmless ""button"" unleashes the gigantic robot MEGA-MEGAmind, the duo will have to resort to their old tricks to restore order.",Simon J. Smith,"Will Ferrell, David Cross, Michelle Belforte, Jordan Alexander Hauser, Kevin Bailey",16,25/02/2011,6.7,/static/posters/Megamind_The_Button_of_Doom.jpg,https://www.youtube.com/embed/dd4DxbNdexw
769,Tom and Jerry & The Wizard of Oz,Animation | Comedy | Adventure | Family | Fantasy,"After a deadly storm, Tom and Jerry find themselves stranded on an unknown island ruled by the evil Wizard of Oz. As they try to find their way back home, they worry for their master Dorothy's safety.",Spike Brandt,"Grey DeLisle, Joe Alaskey, Michael Gough, Rob Paulsen, Todd Stashwick",59,23/08/2011,6.3,/static/posters/Tom_and_Jerry_&_The_Wizard_of_Oz.jpg,https://www.youtube.com/embed/MK7evFDGdjc
770,Your Highness,Comedy | Fantasy | Adventure | Action,"A fantasy movie about an arrogant, lazy prince and his more heroic brother who must complete a quest in order to save their father's kingdom.",David Gordon Green,"Danny McBride, James Franco, Natalie Portman, Zooey Deschanel, Justin Theroux",102,08/04/2011,5.3,/static/posters/Your_Highness.jpg,https://www.youtube.com/embed/KS8wdVZqVrU
771,Sharpay's Fabulous Adventure,Family | Music,"After a talent scout spots her performing with her dog Boi at a charity gala, Sharpay Evans sets off for the bright lights of NYC, convinced instant fame and fortune are in the bag. But theatre's a dog-eat-dog world. Fortunately, Sharpay also meets Peyton, a handsome student filmmaker who finds Sharpay nearly as fascinating as she finds herself.",Michael Lembeck,"Ashley Tisdale, Austin Butler, Cameron Goodman, Bradley Steven Perry, Lucas Grabeel",90,19/04/2011,6,/static/posters/Sharpay's_Fabulous_Adventure.jpg,https://www.youtube.com/embed/nMVKx_d5rEU
772,Jackass 3.5,Comedy | Documentary | Action,"Johnny Knoxville of 'Jackass' releases unused material of stunts, tricks, antics and shenanigans shot during the production of 'Jackass 3D' that didn't make it into the film, as well as the hilarious outtakes.",Jeff Tremaine,"Johnny Knoxville, Ryan Dunn, Dave England, Preston Lacy, Bam Margera",85,01/04/2011,6.346,/static/posters/Jackass_3.5.jpg,https://www.youtube.com/embed/bR26swEzZ84
773,Setup,Action | Crime | Drama | Thriller,"A group of friends plan out a detailed heist that turns deadly when one betrays the other by taking off with the goods. Taking matters into his own hands, Sonny seeks out his revenge teaming up with the most dangerous mob boss in town to get back what is rightfully his. When he finally comes face to face with his longtime friend he will be forced to make a life changing choice.",Mike Gunther,"50 Cent, Ryan Phillippe, Bruce Willis, James Remar, Randy Couture",85,17/10/2011,4.9,/static/posters/Setup.jpg,https://www.youtube.com/embed/hSgFGQjyttY
774,My Week with Marilyn,Drama | Romance,"London, 1956. Genius actor and film director Laurence Olivier is about to begin the shooting of his upcoming movie, premiered in 1957 as The Prince and the Showgirl, starring Marilyn Monroe. Young Colin Clark, who dreams on having a career in movie business, manages to get a job on the set as third assistant director.",Simon Curtis,"Michelle Williams, Kenneth Branagh, Eddie Redmayne, Dominic Cooper, Philip Jackson",99,23/11/2011,6.681,/static/posters/My_Week_with_Marilyn.jpg,https://www.youtube.com/embed/NeHDZODFKNw
775,Like Crazy,Drama | Romance,"A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.",Drake Doremus,"Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston",90,28/10/2011,6.363,/static/posters/Like_Crazy.jpg,https://www.youtube.com/embed/yx2CVSnQwZA
776,Singham,Drama | Action | Crime,"An honest, small town cop is transferred to a big city that is controlled by a crime boss that he had once humiliated.",Rohit Shetty,"Ajay Devgn, Kajal Agarwal, Prakash Raj, Sachin Khedekar, Ashok Saraf",143,22/07/2011,6.49,/static/posters/Singham.jpg,https://www.youtube.com/embed/mp-XqCrCi6I
777,247°F,Horror | Thriller,"Four friends travel to a lakeside cabin for a carefree weekend, but the fun turns into a nightmare when 3 of them end up locked in a hot sauna. Every minute counts and every degree matters as they fight for their lives in the heat up to 247°F.",Levan Bakhia,"Scout Taylor-Compton, Travis Van Winkle, Michael Copon, Christina Ulloa, Tyler Mane",88,01/09/2011,5.562,/static/posters/247°F.jpg,https://www.youtube.com/embed/0X08so-BfFA
778,Assassination Games,Action | Crime | Drama | Thriller,"Brazil is a contract killer, willing to take any job if the price is right. Flint left the assassin game when a ruthless drug dealer’s brutal attack left his wife in a coma. When a contract is put out on the same coldblooded drug dealer, both Brazil and Flint want him dead – one for the money, the other for revenge. With crooked Interpol agents and vicious members of the criminal underworld hot on their trail, these two assassins reluctantly join forces to quickly take out their target before they themselves are terminated.",Ernie Barbarash,"Jean-Claude Van Damme, Scott Adkins, Ivan Kaye, Kevin Chapman, Marija Karan",101,28/07/2011,6.3,/static/posters/Assassination_Games.jpg,https://www.youtube.com/embed/SCKVVZZiWTQ
779,Cedar Rapids,Comedy,A naive Midwesterner insurance salesman travels to a big-city convention in an effort to save the jobs of his co-workers.,Miguel Arteta,"Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock, Jr., Stephen Root",87,11/02/2011,5.94,/static/posters/Cedar_Rapids.jpg,https://www.youtube.com/embed/_eoYXRXGu54
780,Tomboy,Drama,"A French family moves to a new neighborhood with during the summer holidays. The story follows a 10-year-old gender non-conforming child, Laure, who experiments with their gender presentation, adopting the name Mikäel.",Céline Sciamma,"Zoé Héran, Malonn Lévana, Jeanne Disson, Sophie Cattani, Mathieu Demy",82,20/04/2011,7.3,/static/posters/Tomboy.jpg,https://www.youtube.com/embed/VZbkrX7JLpo
781,Faces in the Crowd,Thriller | Crime,"A horror-thriller centered on a woman living with ""face-blindness"" after surviving a serial killer's attack. As she lives with her condition, one in which facial features change each time she loses sight of them, the killer closes in.",Julien Magnat,"Milla Jovovich, Julian McMahon, David Atrakchi, Michael Shanks, Marianne Faithfull",102,25/10/2011,6.08,/static/posters/Faces_in_the_Crowd.jpg,https://www.youtube.com/embed/xNf5ja-p_ao
782,Quarantine 2: Terminal,Horror | Mystery | Science Fiction,A plane is taken over by a mysterious virus. When the plane lands it is placed under quarantine. Now a group of survivors must band together to survive the quarantine.,John Pogue,"Mercedes Mason, Josh Cooke, Bre Blair, Ignacio Serricchio, Tyler Kunkle",86,16/06/2011,5.718,/static/posters/Quarantine_2_Terminal.jpg,https://www.youtube.com/embed/9o4f2QAU_4s
783,Polisse,Drama | Crime,"Paris, France. Fred and his colleagues, members of the BPM, the Police Child Protection Unit, dedicated to pursuing all sorts of offenses committed against the weakest, must endure the scrutiny of Melissa, a photographer commissioned to graphically document the daily routine of the team.",Maïwenn,"Frédéric Pierrot, JoeyStarr, Nicolas Duvauchelle, Karin Viard, Naidra Ayadi",123,06/10/2011,7.782,/static/posters/Polisse.jpg,https://www.youtube.com/embed/rJ60lcoouvA
784,The Art of Getting By,Drama | Romance,"George, a lonely and fatalistic teen who's made it all the way to his senior year without ever having done a real day of work, is befriended by Sally, a popular but complicated girl who recognizes in him a kindred spirit.",Gavin Wiesen,"Freddie Highmore, Emma Roberts, Michael Angarano, Elizabeth Reaser, Alicia Silverstone",83,17/06/2011,6.572,/static/posters/The_Art_of_Getting_By.jpg,https://www.youtube.com/embed/oJZeU7PuytA
785,Trishna,Drama | Romance,"When her father is killed in a road accident, Trishna's family expect her to provide for them. The rich son of an entrepreneur starts to restlessly pursue her affections, but are his intentions as pure as they seem?",Michael Winterbottom,"Freida Pinto, Riz Ahmed, Mita Vashisht, Harish Khanna, Roshan Seth",117,08/09/2011,5.8,/static/posters/Trishna.jpg,https://www.youtube.com/embed/_NnqFVHOMcw
786,The Tunnel,Horror | Thriller | Mystery,"In 2007, in the midst of the drought and water shortages, the NSW State government has unveiled plans to tap into and recycle millions of litres of water trapped in a network of abandoned train tunnels just beneath the heart of Sydney. However the government suddenly goes cold on the plan and it is not made public why. There is talk of homeless people who use the tunnel as shelter going missing, even though the government states that there are no homeless people in there. This, and the silence from the officials and ministers, leads a journalist, Natasha to begin an investigation into a government cover-up. She and her crew Pete (Producer), Steve (Cameraman) and Tangles (Sound Technichian) decide to investigate the story in the tunnel.",Carlo Ledesma,"Bel Deliá, Luke Arnold, Andy Rodoreda, James Caitlin, Goran D. Kleut",90,19/05/2011,5.749,/static/posters/The_Tunnel.jpg,https://www.youtube.com/embed/u47cTpo70EE
787,The Turin Horse,Drama,A monumental windstorm and an abused horse's refusal to work or eat signal the beginning of the end for a poor farmer and his daughter.,Béla Tarr,"János Derzsi, Erika Bók, Mihály Kormos, Lajos Kovács, Mihály Ráday",155,31/03/2011,7.646,/static/posters/The_Turin_Horse.jpg,https://www.youtube.com/embed/KYBCNTzQ31c
788,Hara-Kiri: Death of a Samurai,Drama | History,"A tale of revenge, honor and disgrace, centering on a poverty-stricken samurai who discovers the fate of his ronin son-in-law, setting in motion a tense showdown of vengeance against the house of a feudal lord.",Takashi Miike,"Koji Yakusho, Ichikawa Ebizo XI, Eita Nagayama, Hikari Mitsushima, Naoto Takenaka",128,15/10/2011,7.2,/static/posters/Hara-Kiri_Death_of_a_Samurai.jpg,https://www.youtube.com/embed/GvTctZE4Ovw
789,Delhi Belly,Action | Comedy,"Three unsuspecting, average guys find themselves on the hit list of one of India's most-powerful crime syndicates.",Abhinay Deo,"Imran Khan, Kunaal Roy Kapur, Vir Das, Shenaz Treasury, Poorna Jagannathan",102,01/07/2011,7.045,/static/posters/Delhi_Belly.jpg,https://www.youtube.com/embed/YyYq4rrvjdQ
790,Red State,Horror | Action | Thriller,"Set in Middle America, a group of teens receive an online invitation for sex, though they soon encounter Christian fundamentalists with a much more sinister agenda.",Kevin Smith,"Michael Parks, John Goodman, Melissa Leo, Michael Angarano, Kyle Gallner",88,19/08/2011,6.036,/static/posters/Red_State.jpg,https://www.youtube.com/embed/uJ1v6oFHefc
791,The Devil's Double,Drama | Action | Thriller | Crime | War,A chilling vision of the House of Saddam Hussein comes to life through the eyes of the man who was forced to become the double of Hussein's sadistic son.,Lee Tamahori,"Dominic Cooper, Ludivine Sagnier, Raad Rawi, Philip Quast, Mem Ferda",109,11/02/2011,6.71,/static/posters/The_Devil's_Double.jpg,https://www.youtube.com/embed/qhlQOg9abRk
792,Bucky Larson: Born to Be a Star,Comedy,A kid from the Midwest moves out to Hollywood in order to follow in his parents footsteps -- and become a porn star.,Tom Brady,"Nick Swardson, Christina Ricci, Don Johnson, Stephen Dorff, Ido Mosseri",97,09/09/2011,4.25,/static/posters/Bucky_Larson_Born_to_Be_a_Star.jpg,https://www.youtube.com/embed/cRT93a8xE5s
793,Flypaper,Mystery | Comedy | Crime,A man caught in the middle of two simultaneous robberies at a bank desperately tries to protect the teller with whom he's secretly in love.,Rob Minkoff,"Patrick Dempsey, Ashley Judd, Tim Blake Nelson, Mekhi Phifer, Matt Ryan",87,19/08/2011,6.401,/static/posters/Flypaper.jpg,https://www.youtube.com/embed/2wi0weAVUwY
794,Sunny,Drama | Comedy,"Seven girls become good friends in high school, then events pull them apart for 25 years. When one of the friends lies dying in a hospital, she wishes to see each of them one last time.",Kang Hyung-chul,"Yoo Ho-jeong, Shim Eun-kyung, Jin Hee-kyung, Kang So-ra, Koh Soo-hee",135,04/05/2011,7.853,/static/posters/Sunny.jpg,https://www.youtube.com/embed/lqqaK_0rHnQ
795,W.E.,Drama | Romance,"In 1998, an auction of the estate of the Duke and Duchess of Windsor causes great excitement. For one woman, Wally Winthrop, it has much more meaning. Wally becomes obsessed by their historic love story. As she learns more about the sacrifices involved, Wally gains her own courage to find happiness.",Madonna,"Abbie Cornish, Andrea Riseborough, James D'Arcy, Oscar Isaac, Richard Coyle",119,01/09/2011,6.349,/static/posters/W.E..jpg,https://www.youtube.com/embed/ql8AtTM7blg
796,The Lady,Drama,"The story of Aung San Suu Kyi as she becomes the core of Burma's democracy movement, and her relationship with her husband, writer Michael Aris.",Luc Besson,"Michelle Yeoh, David Thewlis, Jonathan Raggett, Jonathan Woodhouse, Susan Wooldridge",132,30/11/2011,6.797,/static/posters/The_Lady.jpg,https://www.youtube.com/embed/_C10uGA6btQ
797,Prep & Landing: Naughty vs. Nice,Animation | Comedy | Family,"Lanny and Wayne are at it again! With the Big 2-5 fast approaching, Wayne and Lanny must race to recover classified North Pole technology which has fallen into the hands of a computer-hacking Naughty Kid! Desperate to prevent Christmas from descending into chaos, Wayne seeks out the foremost Naughty Kid expert to aid in the mission: a bombastic member of the Coal Bucket Brigade who also happens to be his estranged brother, Noel.",Kevin Deters,"Dave Foley, Sarah Chalke, Emily Alyn Lind, Chris Parnell, Derek Richardson",22,05/12/2011,6.955,/static/posters/Prep_&_Landing_Naughty_vs._Nice.jpg,https://www.youtube.com/embed/Vzx9TFSF2Xc
798,Dookudu,Action | Drama | Comedy,A young policeman hunts down the men who caused the accident that put his politician father into a coma.,Sreenu Vaitla,"Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood, Prakash Raj, Brahmanandam",174,23/09/2011,6.6,/static/posters/Dookudu.jpg,https://www.youtube.com/embed/R15hfyOQ_GE
799,Ronal the Barbarian,Animation | Adventure | Fantasy,"Ronal is a young barbarian with low self-esteem, the polar opposite of all the muscular barbarians in his village. He's a real wuss. However, as fate would have it, responsibility for the tribe's survival falls on Ronal's scrawny shoulders, when the evil Lord Volcazar raids the village and abducts every living barbarian with the exception of Ronal, who is forced to go on a perilous quest to save his enslaved clan and thwart Volcazar’s plot to rule the world.",Philip Einstein Lipski,"Anders Juul, Hadi Ka-Koush, Lærke Winther, Brian Lykke, Lars Mikkelsen",89,27/09/2011,6.155,/static/posters/Ronal_the_Barbarian.jpg,https://www.youtube.com/embed/kS0S3YdoKyE
800,Buddha: The Great Departure,Adventure | Animation | Drama | History,"Prince Siddhartha is heir to the Shakya kingdom, which is constantly at war with the more powerful Kosala kingdom. His father tries to raise as him as a warrior leader and to shield him from the miseries of the world. Meeting the young outcast girl Migaila, Siddhartha experiences love for the first time but also witnesses the suffering that afflicts humankind. Meanwhile, in Kosala, Chapra rises through the military, despite his lowly origins, to become a hero and general of the army. A final showdown between the two kingdoms forces Siddhartha to re-evaluate the path he is following.",Kōzō Morishita,"Sayuri Yoshinaga, Masato Sakai, 観世清和, Hidetaka Yoshioka, Ai Orikasa",111,28/05/2011,7.451,/static/posters/Buddha_The_Great_Departure.jpg,https://www.youtube.com/embed/vSd2oqDzEPA
801,Twixt,Mystery | Fantasy | Horror,"A struggling horror writer visiting a small town on a book tour gets caught up in a murder mystery involving a young girl. That night in a dream, he is approached by a mysterious young ghost named V.",Francis Ford Coppola,"Val Kilmer, Bruce Dern, Elle Fanning, Ben Chaplin, Joanne Whalley",88,10/09/2011,5.058,/static/posters/Twixt.jpg,https://www.youtube.com/embed/S7PrAoBi3rY
802,The Oranges,Comedy | Romance | Drama,A man's affair with his friend's much-younger daughter throws two neighboring families into turmoil.,Julian Farino,"Leighton Meester, Hugh Laurie, Alia Shawkat, Allison Janney, Catherine Keener",90,09/09/2011,5.511,/static/posters/The_Oranges.jpg,https://www.youtube.com/embed/Rk83dEZi29E
803,A Good Old Fashioned Orgy,Comedy,A group of 30-year-olds who have been friends since high school attempt to throw an end-of-summer orgy.,Peter Huyck,"Jason Sudeikis, Leslie Bibb, Lindsay Sloane, Lake Bell, Michelle Borth",95,02/09/2011,5.857,/static/posters/A_Good_Old_Fashioned_Orgy.jpg,https://www.youtube.com/embed/CrW8oewmwWo
804,The Lion of Judah,Adventure | Animation | Comedy | Family,"Upon learning that Judah has been trapped in the clutches of the townspeople and faces the possibility of being the sacrifice at the annual Festival, the stable mates leave their cozy barn and embark on an adventure to find and free their friend.",Deryck Broom,"Georgina Cordova, Ernest Borgnine, Michael Madsen, Scott Eastwood, Anupam Kher",87,03/06/2011,5,/static/posters/The_Lion_of_Judah.jpg,https://www.youtube.com/embed/WWN9aDFT_7E
805,The Day,Action | Drama | Horror | Science Fiction,"Open war against humanity rages. For five survivors – lost and on the run – the pursuit is relentless, the bullets are dwindling and the battle is everywhere. This is a 24-hour look into their lives.",Douglas Aarniokoski,"Shawn Ashmore, Ashley Bell, Michael Eklund, Cory Hardrict, Dominic Monaghan",85,15/09/2011,5.103,/static/posters/The_Day.jpg,https://www.youtube.com/embed/_J4d7NyIVlo
806,eCupid,Romance,"Marshall is an over-worked ad exec who is suffering from a serious case of the seven year itch with his loving boyfriend. As Marshall’s 30th birthday nears he sets hell-bent on changing his life and comes across a mysterious dating app called eCupid which quickly turns his world upside down, overwhelming him sexy guys at every turn!",J.C. Calciano,"Houston Rhines, Noah Schuffman, Morgan Fairchild, Andy Anderson, Joe Komara",95,23/06/2011,5.368,/static/posters/eCupid.jpg,https://www.youtube.com/embed/SxfU9qvAk-U
807,I Don't Know How She Does It,Romance | Comedy,"As an employee at a Boston-based financial firm, Kate Reddy struggles daily to balance the demands of her high-powered career with the needs of her husband, Richard, and their two children. When she gets an account that requires frequent trips to New York and her husband gets a new job, Kate finds herself spread even thinner. Complicating Kate's life even more is her new business associate Jack Abelhammer, who throws temptation into the mix.",Douglas McGrath,"Sarah Jessica Parker, Pierce Brosnan, Greg Kinnear, Christina Hendricks, Kelsey Grammer",89,16/09/2011,5.165,/static/posters/I_Don't_Know_How_She_Does_It.jpg,https://www.youtube.com/embed/bS7CmZdhwmQ
808,This Must Be the Place,Drama,"A bored, retired rock star sets out to find his father's tormentor, an ex-Nazi war criminal who is a refugee in the U.S.",Paolo Sorrentino,"Sean Penn, Olwen Fouéré, Eve Hewson, Johnny Ward, Sam Keeley",118,24/08/2011,6.992,/static/posters/This_Must_Be_the_Place.jpg,https://www.youtube.com/embed/qhfYPrsVpVI
809,Honey 2,Music | Comedy | Drama,"After a brush with the law, Maria has returned to her gritty Bronx roots to rebuild her life with nothing but a talent for street dance and a burning ambition to prove herself.",Bille Woodruff,"Kat Graham, Randy Wayne, Seychelle Gabriel, Audrina Patridge, Brittany Perry-Russell",110,23/06/2011,6.273,/static/posters/Honey_2.jpg,https://www.youtube.com/embed/j8MybnvocCE
810,Black Gold,Adventure | Drama,"On the Arabian Peninsula in the 1930s, two warring leaders come face to face. The victorious Nesib, Emir of Hobeika, lays down his peace terms to rival Amar, Sultan of Salmaah. The two men agree that neither can lay claim to the area of no man’s land between them called The Yellow Belt. In return, Nesib adopts Amar’s two boys Saleeh and Auda as a guarantee against invasion. Twelve years later, Saleeh and Auda have grown into young men. Saleeh, the warrior, itches to escape his gilded cage and return to his father’s land. Auda cares only for books and the pursuit of knowledge. One day, their adopted father Nesib is visited by an American from Texas. He tells the Emir that his land is blessed with oil and promises him riches beyond his wildest imagination. Nesib imagines a realm of infinite possibility, a kingdom with roads, schools and hospitals all paid for by the black gold beneath the barren sand. There is only one problem. The precious oil is located in the Yellow Belt.",Jean-Jacques Annaud,"Mark Strong, Antonio Banderas, Freida Pinto, Tahar Rahim, Riz Ahmed",130,21/12/2011,6.509,/static/posters/Black_Gold.jpg,https://www.youtube.com/embed/4oDVE5nSVsk
811,Gantz: Perfect Answer,Action | Mystery | Science Fiction | Horror,"Summoned by the black sphere, Kei and Masaru fight against extraterrestrials until Masaru grows tired of fighting and refuses to continue.",Shinsuke Sato,"Kazunari Ninomiya, Kenichi Matsuyama, Yuriko Yoshitaka, Ayumi Ito, Kanata Hongo",141,23/04/2011,6.664,/static/posters/Gantz_Perfect_Answer.jpg,https://www.youtube.com/embed/bcSThPonFgs
812,The Beaver,Drama,"Suffering from a severe case of depression, toy company CEO Walter Black begins using a beaver hand puppet to help him open up to his family. With his father seemingly going insane, adolescent son Porter pushes for his parents to get a divorce.",Jodie Foster,"Mel Gibson, Jodie Foster, Jennifer Lawrence, Anton Yelchin, Zachary Booth",91,05/05/2011,6.376,/static/posters/The_Beaver.jpg,https://www.youtube.com/embed/DOSOWNS3jts
813,Pokémon the Movie: Black - Victini and Reshiram,Animation | Family | Adventure | Drama | Fantasy,"The Kingdom of the People of the Earth once ruled over the land, but now all that remains is the Sword of the Earth. in the city of Eindoak. Satoshi, Iris, and Dent arrive in Eindoak during a harvest festival's Pokémon Tournament and meet the legendary Pokémon Victini who wishes to share its powers of victory to someone. Elsewhere in the city, a descendant of the People of the Earth named Dred Grangil has arrived who seeks to revive the kingdom's power with the Sword of the Earth, bringing them back into power over the land, and Satoshi and his friends must stop him before he destroys the land along with Victini.",Kunihiko Yuyama,"Rica Matsumoto, Ikue Otani, Aoi Yuki, Minami Tsuda, Mamoru Miyano",96,16/07/2011,6.6,/static/posters/Pokémon_the_Movie_Black_-_Victini_and_Reshiram.jpg,https://www.youtube.com/embed/pJGcJNkzWIM
814,The Christmas Pageant,TV Movie | Family,"Vera Parks, an overly intense and demanding Broadway director, gets fired from yet another job, leaving her no choice but to take a gig directing a small town Christmas pageant in upstate New York. Stunned at how basic the production is, Vera attempts to back out, but is convinced by some of the locals to give their town a chance.  To her surprise, the warmth and charm of the small town grows on Vera and she even enjoys the experience of directing the pageant. When Vera discovers her former fiancé Jack recommended her for the job, she is outraged. But over time Vera appreciates the gesture, as she grows close to both Jack and his young daughter. Will love stay in the wings this time around?",David S. Cass Sr.,"Melissa Gilbert, Robert Mailhouse, Candice Azzara, Edward Herrmann, Lennon Wynn",87,11/12/2011,5.9,/static/posters/The_Christmas_Pageant.jpg,https://www.youtube.com/embed/yRBKUjkqAFk
