id,title,genres,overview,director,cast,runtime,release_date,rating,poster_url,trailer_url
14,Toy Story 3,Animation | Family | Comedy,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn",103,16/06/2010,7.798,/static/posters/Toy_Story_3.jpg,https://www.youtube.com/embed/2BlMNH1QTeE
15,The Twilight Saga: Eclipse,Adventure | Fantasy | Drama | Romance,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Bryce Dallas Howard, Dakota Fanning",124,23/06/2010,6.204,/static/posters/The_Twilight_Saga_Eclipse.jpg,https://www.youtube.com/embed/hZxJzhIPTTg
16,Flipped,Romance | Drama,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",Rob Reiner,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, John Mahoney",89,06/08/2010,8.027,/static/posters/Flipped.jpg,https://www.youtube.com/embed/aXeJ8NM7c9g
17,Love & Other Drugs,Drama | Comedy | Romance,"Maggie is an alluring free spirit who won't let anyone – or anything – tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serves him well with the ladies and the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.",Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Josh Gad",112,04/11/2010,7.045,/static/posters/Love_&_Other_Drugs.jpg,https://www.youtube.com/embed/h6w7Dh-QxzY
18,Percy Jackson & the Olympians: The Lightning Thief,Adventure | Fantasy | Family,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.",Chris Columbus,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Pierce Brosnan",118,01/02/2010,6.211,/static/posters/Percy_Jackson_&_the_Olympians_The_Lightning_Thief.jpg,https://www.youtube.com/embed/R86InkfdboA
19,Black Swan,Drama | Thriller | Horror,"The story of Nina, a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her retired ballerina mother Erica who zealously supports her daughter's professional ambition. When artistic director Thomas Leroy decides to replace prima ballerina Beth MacIntyre for the opening production of their new season, Swan Lake, Nina is his first choice.",Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey, Winona Ryder",109,03/12/2010,7.685,/static/posters/Black_Swan.jpg,https://www.youtube.com/embed/A9ZcOeHWrSc
20,TRON: Legacy,Adventure | Action | Science Fiction,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",Joseph Kosinski,"Garrett Hedlund, Olivia Wilde, Jeff Bridges, Bruce Boxleitner, James Frain",126,14/12/2010,6.5,/static/posters/TRON_Legacy.jpg,https://www.youtube.com/embed/m9CTGwEZiPk
21,Megamind,Animation | Action | Comedy | Family | Science Fiction,"After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",Tom McGrath,"Will Ferrell, Brad Pitt, Tina Fey, Jonah Hill, David Cross",96,28/10/2010,7.003,/static/posters/Megamind.jpg,https://www.youtube.com/embed/6CJUQr4Vs40
22,Clash of the Titans,Adventure | Fantasy | Action,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",Louis Leterrier,"Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Jason Flemyng",106,26/03/2010,5.913,/static/posters/Clash_of_the_Titans.jpg,https://www.youtube.com/embed/TfyunOnMGqM
23,Predators,Science Fiction | Action | Thriller,A group of cold-blooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial Predators.,Nimród Antal,"Adrien Brody, Topher Grace, Alice Braga, Oleg Taktarov, Laurence Fishburne",107,07/07/2010,6.276,/static/posters/Predators.jpg,https://www.youtube.com/embed/1Er_EeF2Ozc
